2020-12-09 00:30:56 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplication |Starting CaradminApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 1804 (D:\ideaprojects\car\caradmin\target\classes started by xiakai in D:\ideaprojects\car)
2020-12-09 17:52:03 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-09 17:52:03 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-09 17:52:06 |INFO  |restartedMain |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8080 (http)
2020-12-09 17:52:06 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8080"]
2020-12-09 17:52:06 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-09 17:52:06 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-09 17:52:06 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-09 17:52:06 |INFO  |restartedMain |ServletWebServerApplicationContext.java:289 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2918 ms
2020-12-09 17:52:08 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-09 17:52:08 |INFO  |restartedMain |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-09 17:52:08 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-09 17:52:08 |INFO  |restartedMain |WelcomePageHandlerMapping.java:58 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page template: index
2020-12-09 17:52:09 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8080"]
2020-12-09 17:52:09 |INFO  |restartedMain |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8080 (http) with context path ''
2020-12-09 17:52:09 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-09 17:52:09 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-09 17:52:09 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-09 17:52:10 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.woniuxy.caradmin.CaradminApplication |Started CaradminApplication in 8.274 seconds (JVM running for 9.838)
2020-12-09 17:52:15 |INFO  |http-nio-8080-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-09 17:52:15 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-12-09 17:52:15 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 4 ms
2020-12-09 17:52:22 |INFO  |http-nio-8080-exec-5 |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-09 17:53:31 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplication |Starting CaradminApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 19792 (D:\ideaprojects\car\caradmin\target\classes started by xiakai in D:\ideaprojects\car)
2020-12-09 17:53:31 |INFO  |restartedMain |SpringApplication.java:664 |com.woniuxy.caradmin.CaradminApplication |The following profiles are active: dev
2020-12-09 17:53:31 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-09 17:53:31 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-09 17:53:33 |INFO  |restartedMain |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8080 (http)
2020-12-09 17:53:33 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8080"]
2020-12-09 17:53:33 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-09 17:53:33 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-09 17:53:33 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-09 17:53:33 |INFO  |restartedMain |ServletWebServerApplicationContext.java:289 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2524 ms
2020-12-09 17:53:35 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-09 17:53:35 |INFO  |restartedMain |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-09 17:53:35 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-09 17:53:35 |INFO  |restartedMain |WelcomePageHandlerMapping.java:58 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page template: index
2020-12-09 17:53:36 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8080"]
2020-12-09 17:53:36 |INFO  |restartedMain |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8080 (http) with context path ''
2020-12-09 17:53:36 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-09 17:53:36 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-09 17:53:36 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-09 17:53:37 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.woniuxy.caradmin.CaradminApplication |Started CaradminApplication in 7.535 seconds (JVM running for 9.048)
2020-12-09 17:53:46 |INFO  |http-nio-8080-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-09 17:53:46 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-12-09 17:53:46 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 3 ms
2020-12-09 17:53:53 |INFO  |http-nio-8080-exec-4 |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-09 17:56:07 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplication |Starting CaradminApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 20368 (D:\ideaprojects\car\caradmin\target\classes started by xiakai in D:\ideaprojects\car)
2020-12-09 17:56:07 |INFO  |restartedMain |SpringApplication.java:664 |com.woniuxy.caradmin.CaradminApplication |The following profiles are active: dev
2020-12-09 17:56:07 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-09 17:56:07 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-09 17:56:09 |INFO  |restartedMain |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8080 (http)
2020-12-09 17:56:09 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8080"]
2020-12-09 17:56:09 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-09 17:56:09 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-09 17:56:10 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-09 17:56:10 |INFO  |restartedMain |ServletWebServerApplicationContext.java:289 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2591 ms
2020-12-09 17:56:11 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-09 17:56:11 |INFO  |restartedMain |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-09 17:56:11 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-09 17:56:11 |INFO  |restartedMain |WelcomePageHandlerMapping.java:58 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page template: index
2020-12-09 17:56:12 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8080"]
2020-12-09 17:56:12 |INFO  |restartedMain |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8080 (http) with context path ''
2020-12-09 17:56:12 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-09 17:56:12 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-09 17:56:12 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-09 17:56:13 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.woniuxy.caradmin.CaradminApplication |Started CaradminApplication in 8.441 seconds (JVM running for 10.824)
2020-12-09 17:56:23 |INFO  |http-nio-8080-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-09 17:56:23 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-12-09 17:56:23 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2020-12-09 17:56:30 |INFO  |http-nio-8080-exec-2 |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-09 18:04:08 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplication |Starting CaradminApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 22220 (D:\ideaprojects\car\caradmin\target\classes started by xiakai in D:\ideaprojects\car)
2020-12-09 18:04:08 |INFO  |restartedMain |SpringApplication.java:664 |com.woniuxy.caradmin.CaradminApplication |The following profiles are active: dev
2020-12-09 18:04:08 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-09 18:04:08 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-09 18:04:10 |INFO  |restartedMain |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8080 (http)
2020-12-09 18:04:10 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8080"]
2020-12-09 18:04:10 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-09 18:04:10 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-09 18:04:10 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-09 18:04:10 |INFO  |restartedMain |ServletWebServerApplicationContext.java:289 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2271 ms
2020-12-09 18:04:12 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-09 18:04:12 |INFO  |restartedMain |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-09 18:04:12 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-09 18:04:12 |INFO  |restartedMain |WelcomePageHandlerMapping.java:58 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page template: index
2020-12-09 18:04:13 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8080"]
2020-12-09 18:04:13 |INFO  |restartedMain |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8080 (http) with context path ''
2020-12-09 18:04:13 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-09 18:04:13 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
